Page,Nama Reviewer,Rating,Tanggal Review,Isi Review,Kesan Umum,Fungsi,Garansi,Performa,Kondisi Barang
1,i*****s,5,"2025-03-27 19:54 | Variasi: black,64GB ESIM WIFI ONLY","Alhamdulillah barang sudah sampai dengan keadaan yang baik dan mulus banget, BH 100% luar biasa sih, sukses terus pokok nya buat seller",sangat puas dengan produk,Normal,-,-,-
1,palgstore,5,"2025-04-24 11:23 | Variasi: black,128GB ESIM WIFI ONLY","Kupeluk iPhone 12 bekas tangan entah siapa. Layarnya bersih, tapi mungkin pernah menampilkan air mata yang tak sempat dibersihkan.  Sekarang ia jadi milikku— untuk memotret senyum yang belum tentu jujur dan menyimpan pesan-pesan yang kubaca diam-diam seperti puisi.",-,-,sekali kakak baik,baik sekali kakak,kakak baik sekali
1,pattimahujafar,5,"2025-04-04 12:13 | Variasi: blue,128GB ESIM WIFI ONLY",Bgus bgettt hp nyaaa suka😍😍😍,-,-,-,-,-
1,f*****6,5,"2025-03-28 15:35 | Variasi: purple,128GB ESIM WIFI ONLY",,-,all fungsional,-,-,-
1,sadiahhalimah074,5,"2025-03-17 13:48 | Variasi: white,64GB ESIM WIFI ONLY",puas bgt dehh,-,baik,baik,-,-
1,f*****7,5,"2025-04-25 20:05 | Variasi: green,128GB ESIM","Bagus banget si, ini terpercaya, kesehatan baterainya 100%. Dikirimnya juga cepet",-,-,-,-,-
2,i*****s,5,"2025-03-27 19:54 | Variasi: black,64GB ESIM WIFI ONLY","Alhamdulillah barang sudah sampai dengan keadaan yang baik dan mulus banget, BH 100% luar biasa sih, sukses terus pokok nya buat seller",sangat puas dengan produk,Normal,-,-,-
2,palgstore,5,"2025-04-24 11:23 | Variasi: black,128GB ESIM WIFI ONLY","Kupeluk iPhone 12 bekas tangan entah siapa. Layarnya bersih, tapi mungkin pernah menampilkan air mata yang tak sempat dibersihkan.  Sekarang ia jadi milikku— untuk memotret senyum yang belum tentu jujur dan menyimpan pesan-pesan yang kubaca diam-diam seperti puisi.",-,-,sekali kakak baik,baik sekali kakak,kakak baik sekali
2,pattimahujafar,5,"2025-04-04 12:13 | Variasi: blue,128GB ESIM WIFI ONLY",Bgus bgettt hp nyaaa suka😍😍😍,-,-,-,-,-
2,f*****6,5,"2025-03-28 15:35 | Variasi: purple,128GB ESIM WIFI ONLY",,-,all fungsional,-,-,-
2,sadiahhalimah074,5,"2025-03-17 13:48 | Variasi: white,64GB ESIM WIFI ONLY",puas bgt dehh,-,baik,baik,-,-
2,f*****7,5,"2025-04-25 20:05 | Variasi: green,128GB ESIM","Bagus banget si, ini terpercaya, kesehatan baterainya 100%. Dikirimnya juga cepet",-,-,-,-,-
3,i*****s,5,"2025-03-27 19:54 | Variasi: black,64GB ESIM WIFI ONLY","Alhamdulillah barang sudah sampai dengan keadaan yang baik dan mulus banget, BH 100% luar biasa sih, sukses terus pokok nya buat seller",sangat puas dengan produk,Normal,-,-,-
3,palgstore,5,"2025-04-24 11:23 | Variasi: black,128GB ESIM WIFI ONLY","Kupeluk iPhone 12 bekas tangan entah siapa. Layarnya bersih, tapi mungkin pernah menampilkan air mata yang tak sempat dibersihkan.  Sekarang ia jadi milikku— untuk memotret senyum yang belum tentu jujur dan menyimpan pesan-pesan yang kubaca diam-diam seperti puisi.",-,-,sekali kakak baik,baik sekali kakak,kakak baik sekali
3,pattimahujafar,5,"2025-04-04 12:13 | Variasi: blue,128GB ESIM WIFI ONLY",Bgus bgettt hp nyaaa suka😍😍😍,-,-,-,-,-
3,f*****6,5,"2025-03-28 15:35 | Variasi: purple,128GB ESIM WIFI ONLY",,-,all fungsional,-,-,-
3,sadiahhalimah074,5,"2025-03-17 13:48 | Variasi: white,64GB ESIM WIFI ONLY",puas bgt dehh,-,baik,baik,-,-
3,f*****7,5,"2025-04-25 20:05 | Variasi: green,128GB ESIM","Bagus banget si, ini terpercaya, kesehatan baterainya 100%. Dikirimnya juga cepet",-,-,-,-,-
