Page,Nama Reviewer,Rating,Tanggal Review,Isi Review,Fungsi,Kondisi Barang,Kesan Umum,Performa,Garansi
1,i*****s,5,"2025-03-27 19:54 | Variasi: black,64GB ESIM WIFI ONLY","Alhamdulillah barang sudah sampai dengan keadaan yang baik dan mulus banget, BH 100% luar biasa sih, sukses terus pokok nya buat seller",Normal,-,sangat puas dengan produk,-,-
1,palgstore,5,"2025-04-24 11:23 | Variasi: black,128GB ESIM WIFI ONLY","Kupeluk iPhone 12 bekas tangan entah siapa. Layarnya bersih, tapi mungkin pernah menampilkan air mata yang tak sempat dibersihkan.  Sekarang ia jadi milikku— untuk memotret senyum yang belum tentu jujur dan menyimpan pesan-pesan yang kubaca diam-diam seperti puisi.",-,kakak baik sekali,-,baik sekali kakak,sekali kakak baik
1,pattimahujafar,5,"2025-04-04 12:13 | Variasi: blue,128GB ESIM WIFI ONLY",Bgus bgettt hp nyaaa suka😍😍😍,-,-,-,-,-
1,b*****a,5,"2025-03-22 13:55 | Variasi: green,64GB ESIM WIFI ONLY",-,-,-,-,-,-
1,f*****6,5,"2025-03-28 15:35 | Variasi: purple,128GB ESIM WIFI ONLY",,all fungsional,-,-,-,-
1,sadiahhalimah074,5,"2025-03-17 13:48 | Variasi: white,64GB ESIM WIFI ONLY",puas bgt dehh,baik,-,-,-,baik
2,f*****7,5,"2025-04-25 20:05 | Variasi: green,128GB ESIM","Bagus banget si, ini terpercaya, kesehatan baterainya 100%. Dikirimnya juga cepet",-,-,-,-,-
2,m*****t,5,"2025-03-22 12:24 | Variasi: black,64GB ESIM WIFI ONLY",-,-,-,-,-,-
2,sulistya258,5,"2025-04-10 17:41 | Variasi: blue,64GB",-,-,-,-,-,-
2,theresa_maria,5,"2025-04-26 11:15 | Variasi: white,128GB",-,-,-,-,-,-
2,vmxq9x20lz,5,"2025-04-04 11:52 | Variasi: red,128GB ESIM WIFI ONLY",-,-,-,-,-,-
2,ulilsuahah,5,"2025-03-28 23:17 | Variasi: purple,128GB ESIM WIFI ONLY",-,-,-,-,-,-
3,f*****7,5,"2025-04-25 20:05 | Variasi: green,128GB ESIM","Bagus banget si, ini terpercaya, kesehatan baterainya 100%. Dikirimnya juga cepet",-,-,-,-,-
3,m*****t,5,"2025-03-22 12:24 | Variasi: black,64GB ESIM WIFI ONLY",-,-,-,-,-,-
3,sulistya258,5,"2025-04-10 17:41 | Variasi: blue,64GB",-,-,-,-,-,-
3,theresa_maria,5,"2025-04-26 11:15 | Variasi: white,128GB",-,-,-,-,-,-
3,vmxq9x20lz,5,"2025-04-04 11:52 | Variasi: red,128GB ESIM WIFI ONLY",-,-,-,-,-,-
3,ulilsuahah,5,"2025-03-28 23:17 | Variasi: purple,128GB ESIM WIFI ONLY",-,-,-,-,-,-
